URL,Template,Type,Status,H1_Count,Schema_Present,Canonical,Index_Status,Priority
/,views/index.ejs,Homepage,200,1,✅ Organization+WebSite,✅,Index,Critical
/services,views/services.ejs,Service_Hub,200,1,❌,❌,Index,High
/contact,views/contact.ejs,Utility,200,1,❌,❌,Index,Medium
/get-quote,views/get-quote.ejs,Utility,200,1,❌,❌,Index,High
/service-areas,views/service-areas.ejs,Utility,200,1,❌,❌,Index,Medium
/blog,views/blog.ejs,Content,200,1,❌,❌,Index,Low
/login,views/login.ejs,Auth,200,1,❌,❌,NoIndex,Low
/register,views/register.ejs,Auth,200,1,❌,❌,NoIndex,Low
/services/apartment-security,views/services/apartment-security.ejs,Service,200,1,⚠️,❌,Index,Critical
/services/armed-security,views/services/armed-security.ejs,Service,200,1,⚠️,❌,Index,Critical
/services/commercial-security,views/services/commercial-security.ejs,Service,200,1,⚠️,❌,Index,Critical
/services/construction-security,views/services/construction-security.ejs,Service,200,1,⚠️,❌,Index,Critical
/services/educational-campus-security,views/services/educational-campus-security.ejs,Service,200,1,⚠️,❌,Index,Critical
/services/event-security,views/services/event-security.ejs,Service,200,1,⚠️,❌,Index,Critical
/services/executive-protection,views/services/executive-protection.ejs,Service,200,1,⚠️,❌,Index,Critical
/services/fire-watch,views/services/fire-watch.ejs,Service,200,1,⚠️,❌,Index,Critical
/services/hospital-security,views/services/hospital-security.ejs,Service,200,1,⚠️,❌,Index,Critical
/services/hotel-security,views/services/hotel-security.ejs,Service,200,1,⚠️,❌,Index,Critical
/services/patrol,views/services/patrol.ejs,Service,200,1,⚠️,❌,Index,Critical
/services/shopping-center-security,views/services/shopping-center-security.ejs,Service,200,1,⚠️,❌,Index,Critical
/services/special-event-security,views/services/special-event-security.ejs,Service,200,1,⚠️,❌,Index,Critical
/services/unarmed-security,views/services/unarmed-security.ejs,Service,200,1,⚠️,❌,Index,Critical
/alameda,views/cities/alameda.ejs,City,200,1,❌,❌,Index,High
/alhambra,views/cities/alhambra.ejs,City,200,1,❌,❌,Index,High
/aliso-viejo,views/cities/aliso-viejo.ejs,City,200,1,❌,❌,Index,High
/anaheim,views/cities/anaheim.ejs,City,200,1,❌,❌,Index,High
/apple-valley,views/cities/apple-valley.ejs,City,200,1,❌,❌,Index,High
/arcadia,views/cities/arcadia.ejs,City,200,1,❌,❌,Index,High
/azusa,views/cities/azusa.ejs,City,200,1,❌,❌,Index,High
/bakersfield,views/cities/bakersfield.ejs,City,200,1,❌,❌,Index,High
/baldwin-park,views/cities/baldwin-park.ejs,City,200,1,❌,❌,Index,High
/barstow,views/cities/barstow.ejs,City,200,1,❌,❌,Index,High
/bellflower,views/cities/bellflower.ejs,City,200,1,❌,❌,Index,High
/berkeley,views/cities/berkeley.ejs,City,200,1,❌,❌,Index,High
/beverly-hills,views/cities/beverly-hills.ejs,City,200,1,❌,❌,Index,High
/big-bear-lake,views/cities/big-bear-lake.ejs,City,200,1,❌,❌,Index,High
/buena-park,views/cities/buena-park.ejs,City,200,1,❌,❌,Index,High
/burbank,views/cities/burbank.ejs,City,200,1,❌,❌,Index,High
/calabasas,views/cities/calabasas.ejs,City,200,1,❌,❌,Index,High
/camarillo,views/cities/camarillo.ejs,City,200,1,❌,❌,Index,High
/campbell,views/cities/campbell.ejs,City,200,1,❌,❌,Index,High
/carlsbad,views/cities/carlsbad.ejs,City,200,1,❌,❌,Index,High
